id,configuration_id,period_number,start_time,end_time,type,label,day_of_week,fortnight_week,created_at,updated_at
084c2ba6-fc94-4143-bc27-15b63f073eec,560e5aa7-4633-418d-a3a4-26d7a15f24cd,2,08:45:00,09:30:00,period,Period 2,thursday,,2025-06-03 15:54:37.277616+00,2025-06-03 15:54:37.277616+00
13962541-98c7-426d-bbbf-70797d411e77,560e5aa7-4633-418d-a3a4-26d7a15f24cd,2,08:45:00,09:30:00,period,Period 2,monday,,2025-06-03 15:54:37.277616+00,2025-06-03 15:54:37.277616+00
2a096f67-ec28-4625-bca5-c7e5e3eb6bc7,560e5aa7-4633-418d-a3a4-26d7a15f24cd,5,11:00:00,11:45:00,period,Period 5,friday,,2025-06-03 15:54:37.277616+00,2025-06-03 15:54:37.277616+00
2b2c1d5c-43d3-4bfd-955a-513a67d2084a,560e5aa7-4633-418d-a3a4-26d7a15f24cd,5,11:00:00,11:45:00,period,Period 5,tuesday,1,2025-06-03 15:54:37.277616+00,2025-06-03 15:54:37.277616+00
2b972378-dc18-4f73-aa10-2b34e51c3fea,560e5aa7-4633-418d-a3a4-26d7a15f24cd,6,11:45:00,12:30:00,period,Period 6,sunday,2,2025-06-03 15:54:37.277616+00,2025-06-03 15:54:37.277616+00
2d562175-495d-4548-9818-365a872d9a1a,560e5aa7-4633-418d-a3a4-26d7a15f24cd,1,08:00:00,08:45:00,period,Period 1,monday,1,2025-06-03 15:54:37.277616+00,2025-06-03 15:54:37.277616+00
3630057e-9e0a-45f5-8157-0b0b1c16ccc8,560e5aa7-4633-418d-a3a4-26d7a15f24cd,3,09:30:00,10:15:00,period,Period 3,tuesday,,2025-06-03 15:54:37.277616+00,2025-06-03 15:54:37.277616+00
3bf0b916-857f-4738-aaf8-090b310813e4,560e5aa7-4633-418d-a3a4-26d7a15f24cd,3,09:30:00,10:15:00,period,Period 3,saturday,2,2025-06-03 15:54:37.277616+00,2025-06-03 15:54:37.277616+00
452241da-311e-4c52-9aee-8700dca6b75e,560e5aa7-4633-418d-a3a4-26d7a15f24cd,4,10:15:00,11:00:00,period,Period 4,wednesday,,2025-06-03 15:54:37.277616+00,2025-06-03 15:54:37.277616+00
46729e41-27c4-4bc2-ad8e-18a3a085a267,560e5aa7-4633-418d-a3a4-26d7a15f24cd,3,09:30:00,10:15:00,period,Period 3,monday,1,2025-06-03 15:54:37.277616+00,2025-06-03 15:54:37.277616+00
47079540-d623-4c68-b24c-67693f2a8b5a,560e5aa7-4633-418d-a3a4-26d7a15f24cd,5,11:00:00,11:45:00,period,Period 5,thursday,,2025-06-03 15:54:37.277616+00,2025-06-03 15:54:37.277616+00
47ab119e-f5bd-465a-80c9-a5338ccec763,560e5aa7-4633-418d-a3a4-26d7a15f24cd,5,11:00:00,11:45:00,period,Period 5,saturday,2,2025-06-03 15:54:37.277616+00,2025-06-03 15:54:37.277616+00
4d53741f-7a7a-4ec4-bf73-c84ac172802e,560e5aa7-4633-418d-a3a4-26d7a15f24cd,6,11:45:00,12:30:00,period,Period 6,friday,,2025-06-03 15:54:37.277616+00,2025-06-03 15:54:37.277616+00
4d6261a1-c227-4420-a35e-44095726a1ac,560e5aa7-4633-418d-a3a4-26d7a15f24cd,1,08:00:00,08:45:00,period,Period 1,thursday,,2025-06-03 15:54:37.277616+00,2025-06-03 15:54:37.277616+00
534a30e3-54f3-4eca-9b36-4d320c01f778,560e5aa7-4633-418d-a3a4-26d7a15f24cd,6,11:45:00,12:30:00,period,Period 6,saturday,2,2025-06-03 15:54:37.277616+00,2025-06-03 15:54:37.277616+00
57a6ec61-4d3c-4628-a88a-0a4187fd1411,560e5aa7-4633-418d-a3a4-26d7a15f24cd,2,08:45:00,09:30:00,period,Period 2,wednesday,,2025-06-03 15:54:37.277616+00,2025-06-03 15:54:37.277616+00
58ed1f30-6469-4f2f-868f-c71d4606250e,560e5aa7-4633-418d-a3a4-26d7a15f24cd,1,08:00:00,08:45:00,period,Period 1,friday,,2025-06-03 15:54:37.277616+00,2025-06-03 15:54:37.277616+00
5af5315a-165c-466b-8167-8eb7cb4d54eb,560e5aa7-4633-418d-a3a4-26d7a15f24cd,1,08:00:00,08:45:00,period,Period 1,monday,,2025-06-03 15:54:37.277616+00,2025-06-03 15:54:37.277616+00
